delta,theta,lowAlpha,highAlpha,lowBeta,highBeta,lowGamma,midGamma,attention,meditation,rawValue,blinkStrength
delta,theta,lowAlpha,highAlpha,lowBeta,highBeta,lowGamma,midGamma,attention,meditation,rawValue,blinkStrength
delta,theta,lowAlpha,highAlpha,lowBeta,highBeta,lowGamma,midGamma,attention,meditation,rawValue,blinkStrength
416284.000,31777.000,16147.000,7508.000,2048.000,174.000,244.000,153.000,0.000,0.000,29.000,0.000
1048633.000,216049.000,1452.000,14061.000,8247.000,14474.000,6802.000,2820.000,0.000,0.000,29.000,0.000
93839.000,18232.000,6098.000,3395.000,5542.000,3616.000,953.000,435.000,0.000,0.000,68.000,0.000
442272.000,94697.000,16675.000,7617.000,9543.000,6888.000,4528.000,9283.000,0.000,0.000,-68.000,0.000
734589.000,48088.000,22119.000,11007.000,18041.000,36813.000,7670.000,645.000,0.000,0.000,147.000,0.000
1572645.000,231692.000,134788.000,57610.000,21786.000,74404.000,23422.000,4563.000,0.000,0.000,-147.000,0.000
616003.000,26106.000,1362.000,2046.000,1839.000,3160.000,1698.000,401.000,0.000,0.000,36.000,0.000
415675.000,192485.000,222805.000,55375.000,46979.000,59864.000,27705.000,4110.000,37.000,30.000,-523.000,0.000
707078.000,26823.000,769.000,4209.000,1175.000,1706.000,224.000,103.000,37.000,51.000,-221.000,0.000
1992087.000,36462.000,22330.000,14377.000,20783.000,11528.000,2439.000,1747.000,27.000,50.000,-27.000,0.000
delta,theta,lowAlpha,highAlpha,lowBeta,highBeta,lowGamma,midGamma,attention,meditation,rawValue,blinkStrength
30.000,3.000,2.000,2.000,1.000,1.000,1.000,1.000,0.000,0.000,28.000,0.000
1573737.000,337682.000,214970.000,225077.000,234931.000,82107.000,83007.000,67409.000,0.000,0.000,-19.000,0.000
2587342.000,823012.000,158910.000,675720.000,391298.000,289834.000,239721.000,320022.000,0.000,0.000,19.000,0.000
802917.000,226150.000,17411.000,36426.000,39244.000,49341.000,28755.000,46954.000,0.000,0.000,71.000,0.000
1343082.000,182620.000,49283.000,42273.000,12509.000,9102.000,2040.000,1006.000,0.000,0.000,28.000,0.000
230548.000,39322.000,14383.000,16541.000,31441.000,31622.000,3598.000,1301.000,0.000,0.000,26.000,0.000
170304.000,14663.000,4304.000,4993.000,2773.000,1654.000,1170.000,177.000,0.000,0.000,58.000,0.000
2045534.000,399457.000,87306.000,183186.000,109319.000,63751.000,27623.000,12734.000,0.000,0.000,34.000,0.000
1755671.000,34209.000,20696.000,30624.000,9082.000,20352.000,1842.000,765.000,0.000,0.000,38.000,0.000
1159115.000,173758.000,30312.000,24622.000,19301.000,24408.000,6196.000,4699.000,0.000,0.000,-162.000,0.000
1978667.000,73596.000,95754.000,332008.000,499428.000,375272.000,27654.000,40347.000,0.000,0.000,-1118.000,0.000
563856.000,69092.000,27964.000,51747.000,42248.000,30917.000,31909.000,30614.000,0.000,0.000,-2048.000,0.000
865488.000,46447.000,8302.000,8835.000,28198.000,16437.000,883.000,2283.000,0.000,0.000,-501.000,0.000
2341767.000,200971.000,44970.000,27898.000,81012.000,51985.000,12804.000,7061.000,0.000,0.000,1706.000,0.000
559525.000,14758.000,6091.000,2201.000,2540.000,1843.000,714.000,293.000,0.000,0.000,697.000,0.000
1103871.000,154715.000,59868.000,30551.000,59674.000,23649.000,3020.000,3363.000,0.000,0.000,519.000,0.000
312374.000,54683.000,36187.000,2950.000,13545.000,23529.000,6670.000,3697.000,0.000,0.000,428.000,0.000
26558.000,3577.000,1829.000,2291.000,1083.000,3744.000,786.000,294.000,53.000,48.000,42.000,0.000
815697.000,57990.000,13205.000,84046.000,36379.000,33051.000,2852.000,1510.000,77.000,61.000,338.000,0.000
1541478.000,38629.000,99614.000,71819.000,42581.000,22895.000,18631.000,941.000,90.000,81.000,85.000,0.000
1344133.000,84622.000,45940.000,26248.000,34181.000,51938.000,13682.000,1250.000,90.000,100.000,-8.000,0.000
561324.000,31898.000,5385.000,12243.000,4533.000,7713.000,2408.000,362.000,94.000,97.000,73.000,0.000
1067770.000,148781.000,6460.000,16628.000,12849.000,11911.000,9852.000,7539.000,78.000,84.000,86.000,0.000
1648624.000,102079.000,96294.000,63579.000,156143.000,48418.000,48466.000,9697.000,57.000,47.000,35.000,0.000
639944.000,602530.000,157263.000,299667.000,745049.000,340240.000,115118.000,60002.000,64.000,26.000,2047.000,0.000
880428.000,765593.000,901344.000,556592.000,278288.000,93033.000,8609.000,5339.000,64.000,26.000,293.000,0.000
2677178.000,1287007.000,66820.000,589212.000,261709.000,362157.000,18941.000,9282.000,64.000,26.000,872.000,0.000
847372.000,79297.000,51167.000,38584.000,28450.000,42397.000,9506.000,2075.000,64.000,26.000,-1462.000,0.000
1236039.000,52922.000,10614.000,11876.000,21998.000,9665.000,2976.000,604.000,60.000,30.000,-534.000,0.000
702235.000,27174.000,7060.000,8148.000,3728.000,3308.000,1674.000,498.000,60.000,30.000,165.000,0.000
1538165.000,63516.000,2484.000,136747.000,133310.000,46527.000,13204.000,1971.000,47.000,30.000,-291.000,0.000
270745.000,213906.000,43933.000,39136.000,15206.000,12547.000,3412.000,4480.000,67.000,56.000,2.000,0.000
977335.000,90574.000,50273.000,41091.000,85348.000,73143.000,20375.000,2234.000,43.000,50.000,515.000,0.000
