delta,theta,lowAlpha,highAlpha,lowBeta,highBeta,lowGamma,midGamma,attention,meditation,rawValue,blinkStrength
delta,theta,lowAlpha,highAlpha,lowBeta,highBeta,lowGamma,midGamma,attention,meditation,rawValue,blinkStrength
2.000,4.000,1.000,0.000,1.000,0.000,1.000,0.000,0.000,0.000,28.000,0.000
34.000,2.000,1.000,2.000,0.000,1.000,1.000,0.000,0.000,0.000,28.000,0.000
355240.000,255002.000,35236.000,29563.000,33043.000,18644.000,7739.000,5932.000,0.000,0.000,113.000,0.000
1548428.000,333076.000,22484.000,22752.000,27709.000,41039.000,8431.000,4945.000,0.000,0.000,27.000,0.000
1350158.000,105998.000,25120.000,35980.000,20833.000,5065.000,4590.000,1021.000,0.000,0.000,49.000,0.000
121101.000,124674.000,58386.000,37850.000,17815.000,32313.000,4316.000,2866.000,0.000,0.000,-403.000,0.000
733569.000,203963.000,20094.000,55763.000,18561.000,19994.000,4040.000,2502.000,0.000,0.000,124.000,0.000
384978.000,26436.000,1301.000,4682.000,5116.000,2787.000,1523.000,734.000,43.000,44.000,170.000,0.000
121553.000,37611.000,7000.000,7125.000,11140.000,5017.000,1400.000,685.000,48.000,41.000,-5.000,0.000
1016925.000,135782.000,23768.000,38452.000,59085.000,56277.000,32531.000,30885.000,56.000,44.000,-1385.000,0.000
1720729.000,46343.000,4617.000,4959.000,3598.000,2742.000,1962.000,636.000,78.000,47.000,-315.000,0.000
562171.000,312397.000,31614.000,12525.000,46615.000,8906.000,6882.000,3549.000,78.000,47.000,60.000,0.000
799409.000,72015.000,50738.000,6407.000,13471.000,22595.000,5315.000,2884.000,66.000,34.000,20.000,0.000
634880.000,11000.000,12105.000,2956.000,1923.000,8738.000,614.000,990.000,77.000,48.000,160.000,0.000
395839.000,159018.000,34110.000,10494.000,59556.000,13431.000,3056.000,1878.000,91.000,61.000,-694.000,0.000
1248194.000,15024.000,3165.000,5032.000,4970.000,6565.000,1748.000,464.000,70.000,56.000,-508.000,0.000
998775.000,32011.000,7830.000,1451.000,11335.000,5330.000,1119.000,1438.000,100.000,70.000,83.000,0.000
1520794.000,338225.000,30733.000,46475.000,20327.000,13482.000,5108.000,4700.000,94.000,60.000,439.000,0.000
708956.000,134584.000,51593.000,21778.000,25406.000,10948.000,14491.000,1919.000,64.000,43.000,154.000,0.000
1515170.000,80400.000,23470.000,15159.000,6932.000,13262.000,3149.000,5754.000,61.000,54.000,98.000,0.000
710732.000,317012.000,109953.000,53437.000,39097.000,17269.000,3556.000,1656.000,50.000,56.000,193.000,0.000
526774.000,92678.000,5897.000,21315.000,6006.000,5959.000,4887.000,1709.000,35.000,64.000,188.000,0.000
95143.000,242279.000,23033.000,25240.000,22502.000,30478.000,5541.000,3736.000,38.000,67.000,-152.000,0.000
455960.000,47379.000,8354.000,2420.000,3380.000,5414.000,2735.000,936.000,48.000,54.000,-44.000,0.000
763592.000,202704.000,7059.000,55870.000,32113.000,10434.000,6331.000,1543.000,44.000,47.000,97.000,0.000
195063.000,9826.000,2493.000,4370.000,5256.000,3500.000,809.000,406.000,44.000,40.000,-180.000,0.000
1988550.000,365778.000,67067.000,22508.000,92359.000,29536.000,12599.000,1456.000,63.000,43.000,-171.000,0.000
1319517.000,36510.000,10241.000,12443.000,9221.000,14127.000,3941.000,1277.000,56.000,47.000,141.000,0.000
711920.000,99400.000,74802.000,11198.000,23016.000,10744.000,7519.000,2838.000,69.000,54.000,12.000,0.000
186495.000,170175.000,11115.000,14687.000,21171.000,5693.000,6924.000,4854.000,75.000,64.000,119.000,0.000
1010252.000,182956.000,174979.000,34910.000,32200.000,59113.000,11822.000,8527.000,51.000,51.000,-309.000,0.000
1330511.000,603694.000,31695.000,11676.000,27573.000,27256.000,4068.000,11397.000,63.000,69.000,-154.000,0.000
338094.000,145242.000,29832.000,12190.000,60771.000,29836.000,4215.000,5730.000,41.000,47.000,336.000,0.000
889979.000,43378.000,14122.000,12592.000,2709.000,1991.000,4596.000,1962.000,54.000,29.000,117.000,0.000
185573.000,118593.000,12560.000,20665.000,18605.000,10683.000,9023.000,1311.000,53.000,50.000,13.000,0.000
1886514.000,298856.000,51744.000,45447.000,19053.000,45372.000,16019.000,10923.000,43.000,35.000,55.000,0.000
408695.000,63747.000,25228.000,11990.000,21372.000,9697.000,8751.000,974.000,54.000,54.000,59.000,0.000
178594.000,10238.000,1231.000,3794.000,10256.000,7599.000,7033.000,2555.000,48.000,66.000,-108.000,0.000
1098907.000,166705.000,25114.000,29279.000,28271.000,33174.000,1627.000,1152.000,80.000,50.000,76.000,0.000
